Name           :	Sample5	
User           :		
Date           :	2023-xx-xx	

Probe1         :		
Perimeter      : 		

Probe2         :		
Perimeter      : 		

Trough         :		
Width          :		
Area           :		
Symmetric comp :		

Subphase       :		
Surface tension:		
pH             :		
Temperature    :		

Addition       :		
Concentration  :		
Unit           :	         	

Substance1     :		
MW             :		
Concentration  :		
Unit           :	           	
Volume         :		

Substance2     :		
MW             : 		
Concentration  : 		
Unit           :	         	
Volume         : 		

Substrate      :		
Height         : 		
Shape          : 	       	
Width          :		
Thickness      :		


t[s]	Bpos	Bspd	A[cm²]	Mma[Å²]	P1[mN/m]	P2[mN/m]	T[°C]	SP[V]	pH	AD[V]
0,02	0,000	0,000	239,25	2815,74	0,2846	0,0000	24,50	-4,879	0,62	0,000
1,04	0,108	10,000	239,09	2813,84	0,2836	0,0000	24,50	-4,879	0,62	0,000
2,16	0,291	10,000	238,81	2810,60	0,2843	0,0000	24,50	-4,879	0,62	0,000
3,26	0,474	10,000	238,54	2807,36	0,2848	0,0000	24,50	-4,879	0,62	0,000
4,35	0,658	10,000	238,26	2804,13	0,2808	0,0000	24,50	-4,879	0,62	0,000
5,48	0,841	10,000	237,99	2800,89	0,2755	0,0000	24,50	-4,879	0,62	0,000
6,57	1,023	10,000	237,72	2797,68	0,2765	0,0000	24,50	-4,879	0,62	0,000
7,67	1,206	10,000	237,44	2794,44	0,2761	0,0000	24,50	-4,879	0,62	0,000
8,79	1,391	10,000	237,16	2791,18	0,2788	0,0000	24,50	-4,879	0,62	0,000
9,91	1,574	10,000	236,89	2787,94	0,2808	0,0000	24,50	-4,879	0,62	0,000
11,03	1,773	10,000	236,59	2784,44	0,2788	0,0000	24,50	-4,879	0,62	0,000
12,13	1,940	10,000	236,34	2781,49	0,2767	0,0000	24,50	-4,879	0,62	0,000
13,25	2,138	10,000	236,04	2777,99	0,2775	0,0000	24,50	-4,879	0,62	0,000
14,35	2,322	10,000	235,77	2774,75	0,2789	0,0000	24,50	-4,879	0,62	0,000
15,48	2,505	10,000	235,49	2771,51	0,2816	0,0000	24,50	-4,879	0,62	0,000
16,59	2,690	10,000	235,22	2768,26	0,2819	0,0000	24,50	-4,879	0,62	0,000
17,59	2,856	10,000	234,97	2765,31	0,2862	0,0000	24,50	-4,879	0,62	0,000
18,70	3,038	10,000	234,69	2762,10	0,2901	0,0000	24,50	-4,879	0,62	0,000
19,80	3,223	10,000	234,42	2758,84	0,2921	0,0000	24,50	-4,879	0,62	0,000
20,93	3,405	10,000	234,14	2755,63	0,2888	0,0000	24,50	-4,879	0,62	0,000
22,05	3,588	10,000	233,87	2752,39	0,2970	0,0000	24,50	-4,879	0,62	0,000
23,05	3,756	10,000	233,62	2749,43	0,3043	0,0000	24,50	-4,879	0,62	0,000
24,16	3,938	10,000	233,34	2746,21	0,3061	0,0000	24,50	-4,879	0,62	0,000
25,28	4,122	10,000	233,07	2742,98	0,3064	0,0000	24,50	-4,879	0,62	0,000
26,38	4,305	10,000	232,79	2739,74	0,3102	0,0000	24,50	-4,879	0,62	0,000
