Name           :	Sample2	
User           :		
Date           :	2023-xx-xx	

Probe1         :		
Perimeter      : 		

Probe2         :		
Perimeter      : 		

Trough         :		
Width          :		
Area           :		
Symmetric comp :		

Subphase       :		
Surface tension:		
pH             :		
Temperature    :		

Addition       :		
Concentration  :		
Unit           :	         	

Substance1     :		
MW             :		
Concentration  :		
Unit           :	           	
Volume         :		

Substance2     :		
MW             : 		
Concentration  : 		
Unit           :	         	
Volume         : 		

Substrate      :		
Height         : 		
Shape          : 	       	
Width          :		
Thickness      :		


t[s]	Bpos	Bspd	A[cm²]	Mma[Å²]	P1[mN/m]	P2[mN/m]	T[°C]	SP[V]	pH	AD[V]
0,02	0,000	0,000	239,25	1211,04	-0,0727	0,0000	24,99	-4,879	0,63	0,000
1,05	0,108	10,000	239,09	1210,22	-0,0736	0,0000	24,99	-4,879	0,63	0,000
2,17	0,290	10,000	238,82	1208,84	-0,0728	0,0000	24,99	-4,879	0,63	0,000
3,30	0,474	10,000	238,54	1207,44	-0,0854	0,0000	24,99	-4,879	0,63	0,000
4,44	0,659	10,000	238,26	1206,03	-0,0819	0,0000	24,99	-4,879	0,63	0,000
5,55	0,842	10,000	237,99	1204,64	-0,0858	0,0000	24,99	-4,879	0,63	0,000
6,67	1,041	10,000	237,69	1203,13	-0,0825	0,0000	24,99	-4,879	0,63	0,000
7,80	1,224	10,000	237,41	1201,74	-0,0837	0,0000	24,99	-4,879	0,63	0,000
8,92	1,408	10,000	237,14	1200,35	-0,0839	0,0000	24,99	-4,879	0,63	0,000
10,04	1,590	10,000	236,87	1198,97	-0,0925	0,0000	24,99	-4,879	0,63	0,000
11,16	1,773	10,000	236,59	1197,58	-0,0975	0,0000	24,99	-4,879	0,63	0,000
12,27	1,956	10,000	236,32	1196,18	-0,0989	0,0000	24,99	-4,879	0,63	0,000
13,40	2,138	10,000	236,04	1194,80	-0,0987	0,0000	24,99	-4,879	0,63	0,000
14,52	2,338	10,000	235,74	1193,28	-0,1011	0,0000	24,99	-4,879	0,63	0,000
15,65	2,523	10,000	235,47	1191,88	-0,0988	0,0000	24,99	-4,879	0,63	0,000
16,77	2,706	10,000	235,19	1190,49	-0,1029	0,0000	24,99	-4,879	0,63	0,000
