Name           :	Sample1	
User           :		
Date           :	2023-xx-xx	

Probe1         :		
Perimeter      : 		

Probe2         :		
Perimeter      : 		

Trough         :		
Width          :		
Area           :		
Symmetric comp :		

Subphase       :		
Surface tension:		
pH             :		
Temperature    :		

Addition       :		
Concentration  :		
Unit           :	         	

Substance1     :		
MW             :		
Concentration  :		
Unit           :	           	
Volume         :		

Substance2     :		
MW             : 		
Concentration  : 		
Unit           :	         	
Volume         : 		

Substrate      :		
Height         : 		
Shape          : 	       	
Width          :		
Thickness      :		


t[s]	Bpos	Bspd	A[cm²]	Mma[Å²]	P1[mN/m]	P2[mN/m]	T[°C]	SP[V]	pH	AD[V]
65,12	10,721	10,000	223,17	2127,52	1,1076	0,0000	24,92	-4,879	0,63	0,000
66,24	10,921	10,000	222,87	2124,66	1,1073	0,0000	24,92	-4,879	0,63	0,000
67,36	11,106	10,000	222,59	2122,02	1,1031	0,0000	24,92	-4,879	0,63	0,000
68,50	11,288	10,000	222,32	2119,42	1,1095	0,0000	24,92	-4,879	0,63	0,000
69,61	11,473	10,000	222,04	2116,78	1,1066	0,0000	24,92	-4,879	0,63	0,000
70,73	11,655	10,000	221,77	2114,17	1,1056	0,0000	24,92	-4,879	0,63	0,000
71,85	11,839	10,000	221,49	2111,53	1,1041	0,0000	24,92	-4,879	0,63	0,000
72,96	12,021	10,000	221,22	2108,93	1,1160	0,0000	24,92	-4,879	0,63	0,000
74,10	12,221	10,000	220,92	2106,07	1,1148	0,0000	24,92	-4,879	0,63	0,000
75,21	12,405	10,000	220,64	2103,45	1,1163	0,0000	24,92	-4,879	0,63	0,000
76,33	12,588	10,000	220,37	2100,83	1,1243	0,0000	24,92	-4,879	0,63	0,000
77,44	12,771	10,000	220,09	2098,21	1,1207	0,0000	24,92	-4,879	0,63	0,000
78,58	12,955	10,000	219,82	2095,58	1,1159	0,0000	24,92	-4,879	0,63	0,000
79,70	13,139	10,000	219,54	2092,94	1,1170	0,0000	24,92	-4,879	0,63	0,000
80,82	13,338	10,000	219,24	2090,10	1,1099	0,0000	24,91	-4,879	0,63	0,000
81,96	13,521	10,000	218,97	2087,48	1,1151	0,0000	24,91	-4,879	0,63	0,000
83,08	13,705	10,000	218,69	2084,86	1,1216	0,0000	24,91	-4,879	0,63	0,000
84,21	13,888	10,000	218,42	2082,24	1,1299	0,0000	24,91	-4,879	0,63	0,000
85,35	14,089	10,000	218,12	2079,36	1,1322	0,0000	24,91	-4,879	0,63	0,000
86,46	14,271	10,000	217,84	2076,76	1,1405	0,0000	24,92	-4,879	0,63	0,000
87,58	14,456	10,000	217,57	2074,12	1,1453	0,0000	24,91	-4,879	0,63	0,000
88,69	14,638	10,000	217,29	2071,51	1,1486	0,0000	24,91	-4,879	0,63	0,000
89,79	14,821	10,000	217,02	2068,89	1,1506	0,0000	24,91	-4,879	0,63	0,000
90,93	15,006	10,000	216,74	2066,25	1,1572	0,0000	24,91	-4,879	0,63	0,000
92,05	15,188	10,000	216,47	2063,65	1,1561	0,0000	24,91	-4,879	0,63	0,000
93,06	15,356	10,000	216,22	2061,25	1,1545	0,0000	24,91	-4,879	0,63	0,000
94,18	15,555	10,000	215,92	2058,41	1,1491	0,0000	24,91	-4,879	0,63	0,000
95,30	15,738	10,000	215,64	2055,78	1,1444	0,0000	24,91	-4,879	0,63	0,000
96,42	15,922	10,000	215,37	2053,14	1,1523	0,0000	24,91	-4,879	0,63	0,000
97,54	16,106	10,000	215,09	2050,52	1,1543	0,0000	24,91	-4,879	0,63	0,000
98,55	16,272	10,000	214,84	2048,14	1,1653	0,0000	24,91	-4,879	0,63	0,000
99,66	16,454	10,000	214,57	2045,54	1,1713	0,0000	24,91	-4,879	0,63	0,000
100,79	16,639	10,000	214,29	2042,90	1,1755	0,0000	24,91	-4,879	0,63	0,000
101,92	16,838	10,000	213,99	2040,06	1,1676	0,0000	24,91	-4,879	0,63	0,000
103,03	17,022	10,000	213,72	2037,42	1,1724	0,0000	24,91	-4,879	0,63	0,000
104,15	17,206	10,000	213,44	2034,79	1,1738	0,0000	24,91	-4,879	0,63	0,000
105,27	17,388	10,000	213,17	2032,19	1,1831	0,0000	24,91	-4,879	0,63	0,000
106,28	17,554	10,000	212,92	2029,81	1,1923	0,0000	24,91	-4,879	0,63	0,000
107,38	17,738	10,000	212,64	2027,19	1,1946	0,0000	24,91	-4,879	0,63	0,000
108,39	17,906	10,000	212,39	2024,78	1,1939	0,0000	24,91	-4,879	0,63	0,000
109,50	18,088	10,000	212,12	2022,18	1,1952	0,0000	24,91	-4,879	0,63	0,000
110,51	18,256	10,000	211,87	2019,78	1,2003	0,0000	24,91	-4,879	0,63	0,000
111,62	18,439	10,000	211,59	2017,16	1,2036	0,0000	24,91	-4,879	0,63	0,000
112,76	18,622	10,000	211,32	2014,54	1,2030	0,0000	24,91	-4,879	0,63	0,000
113,88	18,822	10,000	211,02	2011,68	1,2014	0,0000	24,91	-4,879	0,63	0,000
