Name           :	Sample3	
User           :		
Date           :	2023-xx-xx	

Probe1         :		
Perimeter      : 		

Probe2         :		
Perimeter      : 		

Trough         :		
Width          :		
Area           :		
Symmetric comp :		

Subphase       :		
Surface tension:		
pH             :		
Temperature    :		

Addition       :		
Concentration  :		
Unit           :	         	

Substance1     :		
MW             :		
Concentration  :		
Unit           :	           	
Volume         :		

Substance2     :		
MW             : 		
Concentration  : 		
Unit           :	         	
Volume         : 		

Substrate      :		
Height         : 		
Shape          : 	       	
Width          :		
Thickness      :		


t[s]	Bpos	Bspd	A[cm²]	Mma[Å²]	P1[mN/m]	P2[mN/m]	T[°C]	SP[V]	pH	AD[V]
65,16	10,738	10,000	223,14	2415,95	3,0058	0,0000	24,47	-4,879	0,62	0,000
66,28	10,921	10,000	222,87	2412,97	3,0203	0,0000	24,47	-4,879	0,62	0,000
67,29	11,088	10,000	222,62	2410,26	3,0298	0,0000	24,47	-4,879	0,62	0,000
68,42	11,273	10,000	222,34	2407,26	3,0354	0,0000	24,47	-4,879	0,62	0,000
69,55	11,455	10,000	222,07	2404,31	3,0399	0,0000	24,47	-4,879	0,62	0,000
70,67	11,656	10,000	221,77	2401,04	3,0433	0,0000	24,47	-4,879	0,62	0,000
71,79	11,838	10,000	221,49	2398,08	3,0487	0,0000	24,47	-4,879	0,62	0,000
72,93	12,021	10,000	221,22	2395,11	3,0543	0,0000	24,47	-4,879	0,62	0,000
74,05	12,205	10,000	220,94	2392,13	3,0674	0,0000	24,47	-4,879	0,62	0,000
75,15	12,388	10,000	220,67	2389,15	3,0833	0,0000	24,47	-4,879	0,62	0,000
76,15	12,555	10,000	220,42	2386,44	3,0906	0,0000	24,47	-4,879	0,62	0,000
77,28	12,738	10,000	220,14	2383,47	3,0996	0,0000	24,47	-4,879	0,62	0,000
78,40	12,938	10,000	219,84	2380,22	3,1092	0,0000	24,47	-4,879	0,62	0,000
79,54	13,121	10,000	219,57	2377,24	3,1212	0,0000	24,47	-4,879	0,62	0,000
80,65	13,306	10,000	219,29	2374,24	3,1322	0,0000	24,47	-4,879	0,62	0,000
81,77	13,488	10,000	219,02	2371,29	3,1373	0,0000	24,47	-4,879	0,62	0,000
82,91	13,673	10,000	218,74	2368,29	3,1493	0,0000	24,47	-4,879	0,62	0,000
83,89	13,838	10,000	218,49	2365,60	3,1531	0,0000	24,47	-4,879	0,62	0,000
85,02	14,023	10,000	218,22	2362,61	3,1604	0,0000	24,47	-4,879	0,62	0,000
86,15	14,221	10,000	217,92	2359,38	3,1683	0,0000	24,47	-4,879	0,62	0,000
87,28	14,405	10,000	217,64	2356,40	3,1817	0,0000	24,47	-4,879	0,62	0,000
88,39	14,589	10,000	217,37	2353,40	3,1894	0,0000	24,47	-4,879	0,62	0,000
89,39	14,756	10,000	217,12	2350,70	3,1914	0,0000	24,47	-4,879	0,62	0,000
90,52	14,938	10,000	216,84	2347,74	3,1976	0,0000	24,47	-4,879	0,62	0,000
91,64	15,122	10,000	216,57	2344,74	3,2062	0,0000	24,47	-4,879	0,62	0,000
92,77	15,305	10,000	216,29	2341,79	3,2195	0,0000	24,47	-4,879	0,62	0,000
93,90	15,505	10,000	215,99	2338,54	3,2279	0,0000	24,47	-4,879	0,62	0,000
95,03	15,688	10,000	215,72	2335,56	3,2318	0,0000	24,46	-4,879	0,62	0,000
96,15	15,871	10,000	215,44	2332,58	3,2430	0,0000	24,46	-4,879	0,62	0,000
97,28	16,056	10,000	215,17	2329,58	3,2563	0,0000	24,46	-4,879	0,62	0,000
98,41	16,254	10,000	214,87	2326,36	3,2674	0,0000	24,45	-4,879	0,62	0,000
99,53	16,439	10,000	214,59	2323,36	3,2857	0,0000	24,45	-4,879	0,62	0,000
100,66	16,621	10,000	214,32	2320,40	3,2929	0,0000	24,45	-4,879	0,62	0,000
101,79	16,804	10,000	214,04	2317,43	3,3044	0,0000	24,45	-4,879	0,62	0,000
102,92	16,988	10,000	213,77	2314,45	3,3087	0,0000	24,45	-4,879	0,62	0,000
104,04	17,189	10,000	213,47	2311,18	3,3127	0,0000	24,45	-4,879	0,62	0,000
105,18	17,372	10,000	213,19	2308,20	3,3126	0,0000	24,45	-4,879	0,62	0,000
106,28	17,556	10,000	212,92	2305,23	3,3267	0,0000	24,45	-4,879	0,62	0,000
107,39	17,738	10,000	212,64	2302,27	3,3345	0,0000	24,45	-4,879	0,62	0,000
108,39	17,906	10,000	212,39	2299,54	3,3378	0,0000	24,45	-4,879	0,62	0,000
109,51	18,088	10,000	212,12	2296,58	3,3499	0,0000	24,45	-4,879	0,62	0,000
110,64	18,271	10,000	211,84	2293,61	3,3682	0,0000	24,45	-4,879	0,62	0,000
111,77	18,454	10,000	211,57	2290,63	3,3705	0,0000	24,45	-4,879	0,62	0,000
112,89	18,656	10,000	211,27	2287,36	3,3807	0,0000	24,45	-4,879	0,62	0,000
114,02	18,838	10,000	210,99	2284,41	3,3954	0,0000	24,45	-4,879	0,62	0,000
115,15	19,022	10,000	210,72	2281,41	3,4086	0,0000	24,45	-4,879	0,62	0,000
116,27	19,204	10,000	210,44	2278,45	3,4078	0,0000	24,45	-4,879	0,62	0,000
117,40	19,404	10,000	210,14	2275,20	3,4170	0,0000	24,45	-4,879	0,62	0,000
118,53	19,589	10,000	209,87	2272,20	3,4242	0,0000	24,45	-4,879	0,62	0,000
119,65	19,772	10,000	209,59	2269,23	3,4337	0,0000	24,45	-4,879	0,62	0,000
120,77	19,954	10,000	209,32	2266,27	3,4484	0,0000	24,45	-4,879	0,62	0,000
121,77	20,121	10,000	209,07	2263,56	3,4582	0,0000	24,45	-4,879	0,62	0,000
122,88	20,304	10,000	208,79	2260,59	3,4664	0,0000	24,45	-4,879	0,62	0,000
123,89	20,472	10,000	208,54	2257,86	3,4796	0,0000	24,45	-4,879	0,62	0,000
125,02	20,656	10,000	208,27	2254,88	3,4813	0,0000	24,45	-4,879	0,62	0,000
126,15	20,854	10,000	207,97	2251,66	3,4908	0,0000	24,45	-4,879	0,62	0,000
127,28	21,038	10,000	207,69	2248,68	3,5037	0,0000	24,45	-4,879	0,62	0,000
128,40	21,221	10,000	207,42	2245,70	3,5144	0,0000	24,45	-4,879	0,62	0,000
