Name           :	Sample6	
User           :		
Date           :	2023-xx-xx	

Probe1         :		
Perimeter      : 		

Probe2         :		
Perimeter      : 		

Trough         :		
Width          :		
Area           :		
Symmetric comp :		

Subphase       :		
Surface tension:		
pH             :		
Temperature    :		

Addition       :		
Concentration  :		
Unit           :	         	

Substance1     :		
MW             :		
Concentration  :		
Unit           :	           	
Volume         :		

Substance2     :		
MW             : 		
Concentration  : 		
Unit           :	         	
Volume         : 		

Substrate      :		
Height         : 		
Shape          : 	       	
Width          :		
Thickness      :		


t[s]	Bpos	Bspd	A[cm²]	Mma[Å²]	P1[mN/m]	P2[mN/m]	T[°C]	SP[V]	pH	AD[V]
0,02	0,000	0,000	239,25	2280,83	0,7372	0,0000	25,01	-4,879	0,63	0,000
1,08	0,109	10,000	239,09	2279,28	0,7275	0,0000	25,01	-4,879	0,63	0,000
2,20	0,291	10,000	238,81	2276,67	0,7302	0,0000	25,01	-4,879	0,63	0,000
3,33	0,491	10,000	238,51	2273,81	0,7607	0,0000	25,01	-4,879	0,63	0,000
4,47	0,674	10,000	238,24	2271,19	0,7582	0,0000	25,01	-4,879	0,63	0,000
5,59	0,858	10,000	237,96	2268,57	0,7441	0,0000	25,01	-4,879	0,63	0,000
6,70	1,041	10,000	237,69	2265,95	0,7471	0,0000	25,01	-4,879	0,63	0,000
7,83	1,224	10,000	237,41	2263,33	0,7417	0,0000	25,01	-4,879	0,63	0,000
8,95	1,423	10,000	237,12	2260,49	0,7410	0,0000	25,00	-4,879	0,63	0,000
10,08	1,608	10,000	236,84	2257,85	0,7596	0,0000	25,00	-4,879	0,63	0,000
11,08	1,772	10,000	236,59	2255,50	0,7858	0,0000	25,00	-4,879	0,63	0,000
12,20	1,956	10,000	236,32	2252,86	0,7896	0,0000	25,00	-4,879	0,63	0,000
13,31	2,140	10,000	236,04	2250,24	0,7995	0,0000	25,00	-4,879	0,63	0,000
14,44	2,323	10,000	235,77	2247,62	0,8248	0,0000	25,00	-4,879	0,63	0,000
15,56	2,506	10,000	235,49	2244,99	0,8229	0,0000	25,00	-4,879	0,63	0,000
16,70	2,705	10,000	235,19	2242,15	0,8178	0,0000	25,00	-4,879	0,63	0,000
17,81	2,890	10,000	234,92	2239,51	0,7986	0,0000	25,00	-4,879	0,63	0,000
18,95	3,073	10,000	234,64	2236,89	0,7971	0,0000	25,00	-4,879	0,63	0,000
20,08	3,255	10,000	234,37	2234,29	0,8022	0,0000	25,00	-4,879	0,63	0,000
21,19	3,440	10,000	234,09	2231,65	0,8103	0,0000	25,00	-4,879	0,63	0,000
22,31	3,640	10,000	233,79	2228,79	0,8134	0,0000	25,00	-4,879	0,63	0,000
23,43	3,822	10,000	233,52	2226,19	0,8082	0,0000	25,00	-4,879	0,63	0,000
24,58	4,006	10,000	233,24	2223,55	0,8018	0,0000	25,00	-4,879	0,63	0,000
